Date,Open,High,Low,Close,Volume,Adj Close
2019/2/17,503.11,507.77,500.3,502.12,19135900,488.34
2019/2/21,506.88,514.85,504.12,514.85,21628400,500.72
2019/2/22,513.08,515.49,509.07,513.04,17260800,498.96
2019/2/23,515.08,517.83,509.5,516.39,20286700,502.22
2019/2/24,519.67,522.9,518.64,522.41,14824000,508.07
2019/2/27,521.31,528.5,516.28,525.76,19556500,511.33
2019/2/28,527.96,535.41,525.85,535.41,21442400,520.71
2019/3/1,548.17,548.21,538.77,544.47,24402500,529.53
2019/3/2,544.24,546.8,542.52,545.18,15418300,530.22
2019/3/5,545.42,547.48,526,533.16,28897300,518.53
2019/3/6,523.66,533.69,516.22,530.26,28937100,515.71
2019/3/7,536.8,537.78,523.3,530.69,28518600,516.12
2019/3/8,534.69,542.99,532.12,541.99,18444900,527.11
2019/3/9,544.21,547.74,543.11,545.17,14961400,530.21
2019/3/12,548.98,552,547,552,14545800,536.85
2019/3/13,557.54,568.18,555.75,568.1,24673400,552.51
2019/3/14,578.05,594.72,575.4,589.58,50673000,573.4
